iter	RMSE
0	304.3925286
1	287.2472464
2	271.3011068
3	255.9445798
4	241.6021638
5	228.1085835
6	215.477798
7	203.5250376
8	192.0709782
9	181.3565986
10	171.4125378
11	161.7096019
12	152.7522721
13	144.3052899
14	136.3765845
15	128.9091987
16	121.9333528
17	115.4061246
18	109.0678215
19	103.2997606
20	97.64114187
21	92.33831194
22	87.50239403
23	82.9331021
24	78.5250953
25	74.40768351
26	70.63581785
27	66.96838218
28	63.56045823
29	60.3623539
30	57.37543414
31	54.53054176
32	51.8344941
33	49.30420917
34	46.89251956
35	44.7418793
36	42.6597817
37	40.81991566
38	38.9457174
39	37.17897005
40	35.55371454
41	34.01367011
42	32.65059517
43	31.38705861
44	30.16886849
45	28.9677133
46	27.89200147
47	26.86045342
48	25.90190908
49	25.01771794
50	24.212514
51	23.53240823
52	22.79757611
53	22.0714139
54	21.45478433
55	20.92338394
56	20.44093256
57	19.94923769
58	19.50407696
59	19.07908933
60	18.69210692
61	18.2876776
62	17.95569124
63	17.63945507
64	17.31686562
65	17.02253195
66	16.76080261
67	16.50083408
68	16.27224323
69	16.03821594
70	15.83115486
71	15.62042742
72	15.42600457
73	15.24196977
74	15.06365726
75	14.91266732
76	14.75934851
77	14.60047541
78	14.4556727
79	14.31035289
80	14.17135467
81	14.04190426
82	13.91933356
83	13.79901796
84	13.68314735
85	13.58471892
86	13.49224612
87	13.40961172
88	13.32297544
89	13.22078041
90	13.13162538
91	13.03806533
92	12.96280388
93	12.90294844
94	12.82422177
95	12.74946326
96	12.67430201
97	12.60936445
98	12.54949985
99	12.48596182
100	12.40998374
101	12.36006491
102	12.28561072
103	12.23066918
104	12.17094182
105	12.11189377
106	12.05533918
107	12.00392841
108	11.9385648
109	11.88497804
110	11.82458552
111	11.77687726
112	11.72662274
113	11.67951429
114	11.62444336
115	11.58047418
116	11.53660704
117	11.50122627
118	11.43785497
119	11.38609221
120	11.35520069
121	11.31370736
122	11.25447321
123	11.20452386
124	11.17519984
125	11.14384604
126	11.10624637
127	11.06606538
128	11.02153705
129	10.98007479
130	10.94375304
131	10.89011188
132	10.86159997
133	10.82502916
134	10.80071428
135	10.75060286
136	10.71443808
137	10.68975046
138	10.65269367
139	10.62263765
140	10.60001256
141	10.57758656
142	10.54638274
143	10.51779211
144	10.49749516
145	10.47819205
146	10.439055
147	10.40423462
148	10.36030889
149	10.32573897
150	10.29057969
151	10.2436708
152	10.22021359
153	10.1955277
154	10.16087016
155	10.13351984
156	10.09948397
157	10.07328964
158	10.03662853
159	9.99183301
160	9.968433202
161	9.94109182
162	9.916638688
163	9.899263183
164	9.855910663
165	9.836615775
166	9.813704642
167	9.786378245
168	9.759631956
169	9.73266507
170	9.703867313
171	9.655881717
172	9.634264555
173	9.594243634
174	9.551639398
175	9.524771925
176	9.502324134
177	9.455378418
178	9.430132843
179	9.389493271
180	9.362942999
181	9.337397531
182	9.313404353
183	9.296000083
184	9.277927576
185	9.242152759
186	9.225483722
187	9.202947525
188	9.182208731
189	9.165632059
190	9.150333141
191	9.135413281
192	9.107301309
193	9.080535648
194	9.042752284
195	9.012558902
196	8.988315952
197	8.970822058
198	8.938429411
199	8.907693859
200	8.88602043
201	8.869496646
202	8.854376219
203	8.839765084
204	8.808689946
205	8.775631241
